"project_id","project_year","currently_requested_funds","plan_id","plan_name","global_clusters","organisation_ids","organisation_names","question","answer"
43297,2016,"1320380",1097,"Niger 2016","Protection","2915","United Nations Children's Fund","Project Priority","High"
43297,2016,"1320380",1097,"Niger 2016","Protection","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45670,2016,"12743647",415,"Haiti 2016","Protection","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45670,2016,"12743647",415,"Haiti 2016","Protection","2986","International Organization for Migration","Project Priority","High"
45670,2016,"12743647",415,"Haiti 2016","Protection","2986","International Organization for Migration","Subset Of Plan","Bi National Crisis"
43292,2016,"1068484",1097,"Niger 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Custom Location","Multiple locations"
43292,2016,"1068484",1097,"Niger 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","High"
43292,2016,"1068484",1097,"Niger 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43279,2016,"1572890",1097,"Niger 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","High"
43279,2016,"1572890",1097,"Niger 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Custom Location","Diffa"
43279,2016,"1572890",1097,"Niger 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43034,2016,"900000",411,"Chad 2016","Protection","2915","United Nations Children's Fund","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
43034,2016,"900000",411,"Chad 2016","Protection","2915","United Nations Children's Fund","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
43035,2016,"2900000",411,"Chad 2016","Protection","2915","United Nations Children's Fund","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
43035,2016,"2900000",411,"Chad 2016","Protection","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43056,2016,"2086500",411,"Chad 2016","Emergency Shelter and NFI","2915","United Nations Children's Fund","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
43056,2016,"2086500",411,"Chad 2016","Emergency Shelter and NFI","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43022,2016,"8597564",411,"Chad 2016","Health","2915","United Nations Children's Fund","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
43022,2016,"8597564",411,"Chad 2016","Health","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43007,2016,"2370063",411,"Chad 2016","Health","2915","United Nations Children's Fund","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
43007,2016,"2370063",411,"Chad 2016","Health","2915","United Nations Children's Fund","Response Type","Refugee"
43007,2016,"2370063",411,"Chad 2016","Health","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
47041,2016,"0",464,"Afghanistan 2016","Food Security","3049","World Food Programme","No field questions","No field answers"
45708,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","","2304","Islamic Relief Worldwide","No field questions","No field answers"
43470,2016,"162724",456,"Libya 2015-2016","Protection","2886","Agency for Technical Cooperation and Development","Project Priority","High"
43470,2016,"162724",456,"Libya 2015-2016","Protection","2886","Agency for Technical Cooperation and Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43472,2016,"313149",456,"Libya 2015-2016","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43472,2016,"313149",456,"Libya 2015-2016","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Project Priority","Medium"
43469,2016,"43476",456,"Libya 2015-2016","Protection","2886","Agency for Technical Cooperation and Development","Project Priority","Medium"
43469,2016,"43476",456,"Libya 2015-2016","Protection","2886","Agency for Technical Cooperation and Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42894,2016,"3032640",498,"Cameroon 2016","Health","2915","United Nations Children's Fund","Project Priority","High"
42894,2016,"3032640",498,"Cameroon 2016","Health","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42906,2016,"3143393",498,"Cameroon 2016","Health","3049","World Food Programme","Project Priority","High"
42906,2016,"3143393",498,"Cameroon 2016","Health","3049","World Food Programme","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
42909,2016,"414604",498,"Cameroon 2016","Health","3049","World Food Programme","Project Priority","High"
42909,2016,"414604",498,"Cameroon 2016","Health","3049","World Food Programme","Response Type","Refugee"
42909,2016,"414604",498,"Cameroon 2016","Health","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42865,2016,"400533",498,"Cameroon 2016","Agriculture","4399","Food and Agriculture Organization of the United Nations","Project Priority","High"
42865,2016,"400533",498,"Cameroon 2016","Agriculture","4399","Food and Agriculture Organization of the United Nations","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
42872,2016,"23844066",498,"Cameroon 2016","Food Security","3049","World Food Programme","Project Priority","High"
42872,2016,"23844066",498,"Cameroon 2016","Food Security","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42959,2016,"3870585",498,"Cameroon 2016","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Project Priority","High"
42959,2016,"3870585",498,"Cameroon 2016","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42958,2016,"3096257",498,"Cameroon 2016","Protection","4397","United Nations High Commissioner for Refugees","Project Priority","High"
42958,2016,"3096257",498,"Cameroon 2016","Protection","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42963,2016,"27898311",498,"Cameroon 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42963,2016,"27898311",498,"Cameroon 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","High"
42963,2016,"27898311",498,"Cameroon 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Response Type","Refugee"
42922,2016,"486810",498,"Cameroon 2016","Health","4293","United Nations Population Fund","Project Priority","High"
42922,2016,"486810",498,"Cameroon 2016","Health","4293","United Nations Population Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43310,2016,"4000000",1097,"Niger 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Custom Location","Diffa"
43310,2016,"4000000",1097,"Niger 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Project Priority","High"
43310,2016,"4000000",1097,"Niger 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43287,2016,"25897810",1097,"Niger 2016","Food Security","3049","World Food Programme","Project Priority","High"
43287,2016,"25897810",1097,"Niger 2016","Food Security","3049","World Food Programme","Custom Location","Diffa"
43287,2016,"25897810",1097,"Niger 2016","Food Security","3049","World Food Programme","Response Type","Refugee"
43287,2016,"25897810",1097,"Niger 2016","Food Security","3049","World Food Programme","Gender Marker","3-Not specified"
43269,2016,"725000",1097,"Niger 2016","Health","4293","United Nations Population Fund","Custom Location","Diffa"
43269,2016,"725000",1097,"Niger 2016","Health","4293","United Nations Population Fund","Project Priority","High"
43269,2016,"725000",1097,"Niger 2016","Health","4293","United Nations Population Fund","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
43045,2016,"378000",411,"Chad 2016","Protection","4293","United Nations Population Fund","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
43045,2016,"378000",411,"Chad 2016","Protection","4293","United Nations Population Fund","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
42980,2016,"730470",411,"Chad 2016","Health","4293","United Nations Population Fund","Project Grouping 2","1- URGENCES SANITAIRES"
42980,2016,"730470",411,"Chad 2016","Health","4293","United Nations Population Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43010,2016,"19628224",411,"Chad 2016","Food Security","3049","World Food Programme","Project Grouping 2","1-  INSECURITE ALIMENTAIRE ET MALNUTRITION"
43010,2016,"19628224",411,"Chad 2016","Food Security","3049","World Food Programme","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
43017,2016,"3680000",411,"Chad 2016","Agriculture","4399","Food and Agriculture Organization of the United Nations","Project Grouping 2","1-  INSECURITE ALIMENTAIRE ET MALNUTRITION"
43017,2016,"3680000",411,"Chad 2016","Agriculture","4399","Food and Agriculture Organization of the United Nations","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45688,2016,"1538305",415,"Haiti 2016","Protection","4397","United Nations High Commissioner for Refugees","Subset Of Plan","Bi National Crisis"
45688,2016,"1538305",415,"Haiti 2016","Protection","4397","United Nations High Commissioner for Refugees","Project Priority","High"
45688,2016,"1538305",415,"Haiti 2016","Protection","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45290,2016,"19000000",500,"Iraq 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","High"
45290,2016,"19000000",500,"Iraq 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43494,2016,"3950000",456,"Libya 2015-2016","Multi-sector","2986","International Organization for Migration","Project Priority","High"
43494,2016,"3950000",456,"Libya 2015-2016","Multi-sector","2986","International Organization for Migration","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
43445,2016,"19437681",456,"Libya 2015-2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","High"
43445,2016,"19437681",456,"Libya 2015-2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43375,2016,"32432817",412,"Nigeria 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","High"
43375,2016,"32432817",412,"Nigeria 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43354,2016,"7380000",412,"Nigeria 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Project Priority","High"
43354,2016,"7380000",412,"Nigeria 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43367,2016,"1200000",412,"Nigeria 2016","Protection","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43367,2016,"1200000",412,"Nigeria 2016","Protection","4397","United Nations High Commissioner for Refugees","Project Priority","High"
43368,2016,"7992442",412,"Nigeria 2016","Protection","4397","United Nations High Commissioner for Refugees","Project Priority","High"
43368,2016,"7992442",412,"Nigeria 2016","Protection","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43332,2016,"4650750",412,"Nigeria 2016","Protection","2915","United Nations Children's Fund","Project Priority","High"
43332,2016,"4650750",412,"Nigeria 2016","Protection","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43330,2016,"1775000",412,"Nigeria 2016","Protection","4293","United Nations Population Fund","Project Priority","High"
43330,2016,"1775000",412,"Nigeria 2016","Protection","4293","United Nations Population Fund","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
43359,2016,"8044550",412,"Nigeria 2016","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43359,2016,"8044550",412,"Nigeria 2016","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Project Priority","High"
43402,2016,"937000",412,"Nigeria 2016","Protection","4293","United Nations Population Fund","Project Priority","High"
43402,2016,"937000",412,"Nigeria 2016","Protection","4293","United Nations Population Fund","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
43329,2016,"5076000",412,"Nigeria 2016","Health","4293","United Nations Population Fund","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
43329,2016,"5076000",412,"Nigeria 2016","Health","4293","United Nations Population Fund","Project Priority","High"
44951,2016,"1095821",501,"Somalia 2016","Protection","2986","International Organization for Migration","Custom Location","Multi Zone"
44951,2016,"1095821",501,"Somalia 2016","Protection","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44950,2016,"5000084",501,"Somalia 2016","Early Recovery","2986","International Organization for Migration","Project Priority","A - High"
44950,2016,"5000084",501,"Somalia 2016","Early Recovery","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44820,2016,"5200000",501,"Somalia 2016","Water Sanitation Hygiene","2986","International Organization for Migration","Custom Location","Multi Zone"
44820,2016,"5200000",501,"Somalia 2016","Water Sanitation Hygiene","2986","International Organization for Migration","Project Priority","A - High"
44820,2016,"5200000",501,"Somalia 2016","Water Sanitation Hygiene","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44906,2016,"2894758",501,"Somalia 2016","Protection","2986","International Organization for Migration","Custom Location","Multi Zone"
44906,2016,"2894758",501,"Somalia 2016","Protection","2986","International Organization for Migration","Project Priority","A - High"
44906,2016,"2894758",501,"Somalia 2016","Protection","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44928,2016,"5525000",501,"Somalia 2016","Health","2986","International Organization for Migration","Custom Location","Multi Zone"
44928,2016,"5525000",501,"Somalia 2016","Health","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44940,2016,"2495275",501,"Somalia 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Custom Location","Multi Zone"
44940,2016,"2495275",501,"Somalia 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Project Priority","A - High"
44940,2016,"2495275",501,"Somalia 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45096,2016,"3622599",501,"Somalia 2016","Protection","2986","International Organization for Migration","Project Priority","A - High"
45096,2016,"3622599",501,"Somalia 2016","Protection","2986","International Organization for Migration","Response Type","Refugee"
45096,2016,"3622599",501,"Somalia 2016","Protection","2986","International Organization for Migration","Subset Of Plan","Somalia Refugee Response Plan"
45096,2016,"3622599",501,"Somalia 2016","Protection","2986","International Organization for Migration","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
45036,2016,"877400",501,"Somalia 2016","Protection","2986","International Organization for Migration","Subset Of Plan","Somalia Refugee Response Plan"
45036,2016,"877400",501,"Somalia 2016","Protection","2986","International Organization for Migration","Project Priority","A - High"
45036,2016,"877400",501,"Somalia 2016","Protection","2986","International Organization for Migration","Custom Location","Multi Zone"
45036,2016,"877400",501,"Somalia 2016","Protection","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44628,2016,"8747204",1059,"Republic of South Sudan 2016","Education","2915","United Nations Children's Fund","Project Priority","2"
44628,2016,"8747204",1059,"Republic of South Sudan 2016","Education","2915","United Nations Children's Fund","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
43617,2016,"96581",1118,"occupied Palestinian territory 2016","Water Sanitation Hygiene","8242","Première Urgence Internationale","Project Priority","Other"
43617,2016,"96581",1118,"occupied Palestinian territory 2016","Water Sanitation Hygiene","8242","Première Urgence Internationale","Custom Location","Projects covering just Gaza"
43617,2016,"96581",1118,"occupied Palestinian territory 2016","Water Sanitation Hygiene","8242","Première Urgence Internationale","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43655,2016,"7585874",1118,"occupied Palestinian territory 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Custom Location","Projects covering both West Bank and Gaza"
43655,2016,"7585874",1118,"occupied Palestinian territory 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","Other"
43655,2016,"7585874",1118,"occupied Palestinian territory 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
49842,2016,"2114873",411,"Chad 2016","Agriculture","7063","Association Help-Tchad pour le développement","Project Grouping 2","1-  MOUVEMENTS DE POPULATION"
49842,2016,"2114873",411,"Chad 2016","Agriculture","7063","Association Help-Tchad pour le développement","Gender Marker","3-Not specified"
46811,2016,"0",464,"Afghanistan 2016","Health","4536","Action Contre la Faim - Action Against Hunger International","No field questions","No field answers"
43351,2016,"1000000",412,"Nigeria 2016","Health","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43394,2016,"27016164",412,"Nigeria 2016","Health","2915","United Nations Children's Fund","Project Priority","High"
43394,2016,"27016164",412,"Nigeria 2016","Health","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43865,2016,"146370783",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Custom Location","Regional"
43865,2016,"146370783",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","3-Not specified"
46420,2016,"479289711",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","2915","United Nations Children's Fund","Custom Location","Lebanon"
46420,2016,"479289711",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","2915","United Nations Children's Fund","Gender Marker","3-Not specified"
42880,2016,"1706500",498,"Cameroon 2016","Health","1937","Alliance for International Medical Action","Project Priority","High"
42880,2016,"1706500",498,"Cameroon 2016","Health","1937","Alliance for International Medical Action","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
46743,2016,"0",503,"Myanmar 2016","","2054","Danish Red Cross","No field questions","No field answers"
44556,2016,"43190000",1059,"Republic of South Sudan 2016","Agriculture","4399","Food and Agriculture Organization of the United Nations","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
43132,2016,"1231503",378,"Mali 2016","Agriculture","2849","Save the Children","Project Priority","High"
43132,2016,"1231503",378,"Mali 2016","Agriculture","2849","Save the Children","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
43906,2016,"1200000",1011,"Syria Humanitarian Response Plan 2016","Protection","2849","Save the Children","Project Priority","N/A"
43906,2016,"1200000",1011,"Syria Humanitarian Response Plan 2016","Protection","2849","Save the Children","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44635,2016,"4411619",1059,"Republic of South Sudan 2016","Education","2849","Save the Children","Project Priority","3"
44635,2016,"4411619",1059,"Republic of South Sudan 2016","Education","2849","Save the Children","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
