"project_id","project_year","currently_requested_funds","plan_id","plan_name","global_clusters","organisation_ids","organisation_names","question","answer"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Restriction","Combined"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Estimated percentage of project requirements to be used for cash","12%"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Is any part of this project cash based intervention?","true"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Response Type","Refugee"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à l’OS 1 : Sauver des vies","40"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à l’OS 2 : Renforcer la résilience","30"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à l’OS 3 : Protection des personnes affectées","30"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Needs","Quelques 410 000 personnes relevant de la compétence du UNHCR  dont 299,779 réfugiés Soudanais, 83,390 réfugies Centrafricains, 6,531Nigérians et 4,057 réfugiés de diverses nationalités   en milieu urbain dépendent actuellement  de l'aide humanitaire.  Leur rapatriement n'est pas envisageable dans l'immédiat à cause de l'insécurité et instabilité persistants dans leur pays d'origine.  Ils ont toujours besoin de la protection internationale et de l’assistance multisectorielle leur permettant de mener une vie digne et en toute sécurité. Les services de santé, de nutrition, d'éducation, d'eau et assainissement nécessitent d'être maintenus et améliorés  en vue de  réduire la vulnérabilité des  réfugiés tout en tenant compte de leur âge, genre et diversité. Quatre-vingt pourcent des refugies n’ont pas n’ont pas accès aux moyens de subsistance, il y a nécessité de  renforcer leur résilience et  leur auto-prise en charge progressive."
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Activities or outputs","
•	Assurer l’accès aux procédures d’asile ainsi que la protection contre le refoulement en renforçant les capacités des officiers d’immigration, les autorités central et locales, et  autres fonctionnaires qui interviennent dans la gestion de la situation des réfugiés. 
•	Assurer l’enregistrement individuel, l’enregistrement des naissances/décès, et l’établissement de documents individuels tels que les cartes d'identité.
•	Assurer la sécurité physique en préservant le caractère humanitaire des camps/sites des réfugiés.   
•	Réduire les risques de protection tels que les violences sexuelles et basées sur le genre ainsi que les incidences d’abus, d’exploitation, de négligence, et de violence contre les enfants en impliquant les réseaux communautaires.
•	Renforcer le suivi de soutien psychosocial pour les personnes traumatisées
•	Renforcer des interventions appropriées destinés aux personnes à besoins spécifiques telles que les enfants non accompagnés et séparés, les personnes handicapées, les personnes âgées, et les femmes chefs de ménage.
•	Renforcer l’accès à une éducation de qualité aux niveaux primaire, secondaire et tertiaire.
- Réduire la mortalité, la morbidité et la malnutrition à travers des interventions multisectorielles.
- Fournir les abris, l’énergie domestique, l’eau, l’assainissement et l’hygiène, les articles élémentaires et ménagers conformément aux normes internationales.
- Renforcer l’autonomisation communautaire à travers les structures de gestion/leadership qui comprennent la participation active des femmes aux processus décisionnels ainsi que les structures/groupes communautaires qui travaillent pour la promotion de bien-être de la communauté. 
- Renforcer l’autosuffisance des réfugiés à travers des possibilités accrues des moyens d’existence (production agricole, l'élevage, la pêche et les petites entreprises) et des formations  professionnelle et technique.
- Renforcer la coexistence pacifique avec les communautés hôtes à travers les campagnes de sensibilisation, les programmes d'éducation à la paix, les projets bénéficiant aux communautés hôtes et réfugiées.
- Promouvoir/renforcer la protection des ressources naturelles et de l'environnement partagé à travers des sessions d'éducation à l'environnement et la plantation de semences d'arbres.
- Rechercher les solutions durables – l’intégration, la réinstallation, facilitation de l’intégration socio-économique."
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Indicators and targets","Indicateurs/cibles de l’Objectif sectoriel 1 :
- Nombre de papiers d'identité/titres de voyage délivrés aux personnes prises en charge/115 200 unités
- Nombre d'enfants enregistrés et ayant reçu des certificats de naissance/45 190 enfants
- Nombre de personnes prises en charge recevant une aide juridique/5 055 personnes
- Nombre de déterminations de l'intérêt supérieur conduites/ 1 155
- Nombre de décisions liées à la détermination de l'intérêt supérieur (DIS) prises par le groupe chargé de la DIS/90 décisions
- Nombre de cas signalés de violence sexuelle et sexiste dans lesquels les victimes reçoivent l’assistance multisectoriel (médicale, psychosociale, juridique, matérielle et sécuritaire)/2 911 cas
- Nombre de personnes prises en charge ayant accès à des services liés à leurs besoins spéciaux/53 700 personnes

Indicateurs/cibles de l’Objectif sectoriel 2 :
- Nombre d'enfants scolarisés à l'école primaire/87 474 enfants
- Nombre d'enfants scolarisés à l'école secondaire/ 22 595 enfants
- Nombre de personnes recevant une aide alimentaire/ 399 447 personnes
- Nombre de puits de forage/puits, pompes à main, robinets d'eau réhabilités/ 970 unités
- Nombre d'installations sanitaires/latrines construites dans les foyers/11 147 unités
- Nombres de personnes recevant un abri à long terme/permanent/ 24 300 personnes
- Nombre de ménages recevant des articles élémentaires et ménagers/ 53 208 ménages

Indicateurs/cibles de l’Objectif sectoriel 3 :
- Nombre de personnes recevant du matériel/une aide pour les activités de production agricole/l'élevage/la pêche/46 542 personnes
- Nombre de ménages réfugiés appuyés dans le développement de leurs moyens d’existence/56 407 ménages 	
- Nombre d'associations de petites entreprises de formées/appuyées/1450 unités
- Nombre de projets pour la coexistence pacifique mis en œuvre/90 projets
- Nombre de personnes pour lesquelles le HCR est intervenu en vue de faciliter leur départ/982 personnes
- Nombre de personnes ayant reçu des informations générales sur les solutions globales, y compris la réinstallation /40 000 personnes"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
56084,2018,"208671335",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Custom Location","Jordan"
56084,2018,"208671335",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Project Priority","NOT SPECIFIED"
56084,2018,"208671335",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Gender Marker","3-Not specified"
54621,2018,"3233260",5750,"Haiti Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Custom Location","NOT SPECIFIED"
54621,2018,"3233260",5750,"Haiti Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","High"
54621,2018,"3233260",5750,"Haiti Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56215,2018,"1200000",5682,"Iraq Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56215,2018,"1200000",5682,"Iraq Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Subset Of Plan","a. Project mainly targets IDPs in camps, temporary, formal and informal settlements"
56215,2018,"1200000",5682,"Iraq Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Project Priority","NOT SPECIFIED"
53315,2018,"2091915",5692,"South Sudan Humanitarian Response Plan 2018","Food Security","3369","Plan International","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56217,2018,"14207374",5682,"Iraq Humanitarian Response Plan 2018","Emergency Shelter and NFI","2986","International Organization for Migration","Project Priority","High"
56217,2018,"14207374",5682,"Iraq Humanitarian Response Plan 2018","Emergency Shelter and NFI","2986","International Organization for Migration","Subset Of Plan","e. Project mainly targets new or second-time IDPs, mainly providing second line response of Cluster"
56217,2018,"14207374",5682,"Iraq Humanitarian Response Plan 2018","Emergency Shelter and NFI","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56784,2018,"64990357",1128,"Syria Humanitarian Response Plan 2018","Food Security","4319","International NGOs (Confidential)","Project Grouping 2","NOT SPECIFIED"
56784,2018,"64990357",1128,"Syria Humanitarian Response Plan 2018","Food Security","4319","International NGOs (Confidential)","Project Grouping 1","Food Security"
56784,2018,"64990357",1128,"Syria Humanitarian Response Plan 2018","Food Security","4319","International NGOs (Confidential)","Project Priority","NOT SPECIFIED"
56784,2018,"64990357",1128,"Syria Humanitarian Response Plan 2018","Food Security","4319","International NGOs (Confidential)","Subset Of Plan","Y"
56784,2018,"64990357",1128,"Syria Humanitarian Response Plan 2018","Food Security","4319","International NGOs (Confidential)","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
53478,2018,"601528",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","3777","Médecins du Monde","Project Grouping 2","NOT SPECIFIED"
53478,2018,"601528",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","3777","Médecins du Monde","Project Grouping 1","Protection"
53478,2018,"601528",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","3777","Médecins du Monde","Project Priority","NOT SPECIFIED"
53478,2018,"601528",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","3777","Médecins du Monde","Custom Location","Projects covering just West Bank"
53478,2018,"601528",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","3777","Médecins du Monde","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53461,2018,"559714",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Health","3777","Médecins du Monde","Project Grouping 1","Health and Nutrition Cluster"
53461,2018,"559714",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Health","3777","Médecins du Monde","Custom Location","Projects covering just Gaza"
53461,2018,"559714",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Health","3777","Médecins du Monde","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53891,2018,"38753378",5688,"Nigeria Humanitarian Response Plan 2018","Nutrition","2915","United Nations Children's Fund","Project Priority","High"
53891,2018,"38753378",5688,"Nigeria Humanitarian Response Plan 2018","Nutrition","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53437,2018,"1400000",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","5311","United Nations Mine Action Service","Project Grouping 1","Protection"
53437,2018,"1400000",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","5311","United Nations Mine Action Service","Project Grouping 2","NOT SPECIFIED"
53437,2018,"1400000",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","5311","United Nations Mine Action Service","Custom Location","Projects covering just Gaza"
53437,2018,"1400000",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","5311","United Nations Mine Action Service","Project Priority","NOT SPECIFIED"
53437,2018,"1400000",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Protection","5311","United Nations Mine Action Service","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53160,2018,"2461000",5692,"South Sudan Humanitarian Response Plan 2018","Food Security","8426","CARE USA","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
