id,text,predicted_class,predicted_confidence
166811,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province",Partial,0.29500815
166956,Support to the WFP’ s School Meal Programme in Lebanon. The project intends to promote the right to education for all children in Lebanon and  ensure improved nutritional intake for pupils. It provides for the daily distribution of school snacks to Syrian and Lebanese pupils in selected public primary schools and the distribution of a monthly cash allowance for the Syrian pupils enrolled in the second shift classes.,Full,0.5244581
167296,"Water trucking,food and cash contributions",Partial,0.03051066
167570,"Cash Project, diversication of livelihoods and market internevtions to strengthen vulnerable households; 2017: 90.000,00 € 2018: 405.000,00 € (AA-S09 321.50 SSD 13/17)",Full,0.93547446
154822,"Life saving cash assistance for the most vulnerable IDP and host population in Maiduguri, Borno state (ECHO/-WF/BUD/2017/91022)",Full,0.99023706
167849,Emergency cash assistance and psychosocial support to Syrian refugees and members of the host community,Full,0.7605348
154850,"Food (cash/vouchers), Access to Water and Hygiene",Partial,0.045506854
167994,"UNHCR Cash Assisstance to returness and Protection & Assistance for Refugees, IDPs & Returnees,  Multi-year, 2016-2017, 2017 portion, total amount GBP 1,500,000",Full,0.94838035
168044,Strenghtening Resilience through Cash for Education in North-east Nigeria,Full,0.9784046
168225,Cash Monitoring Evaluation Accountability and Learning Organisational Network (ECHO/SYR/BUD/2017/91048),Full,0.98159766
168226,"Emergency WASH and cash intervention for drought and conflict affected communities of East and West Hararghe zones, Oromia region of Ethiopia (ECHO/-HF/BUD/2017/91059)",Partial,0.1326037
168368,"Cash Assistance for essential needs, including food, shelter and NFIs (part of ECHO/SYR/BUD/2017/91046)",Full,0.98989314
168648,WASH and CASH assistance to conflict affected IDPs,Partial,0.029890586
168811,"Provide support to  10 public  schools  in 2 Bay regional towns of Berdale and Bur hakaba  through the provision of clean drinking water, provision of school cash grants, emergency teacher incentives, Construction of 2 temporary learning space (TLS) with 2 twin latrine",Partial,0.048424963
168954,"UNHCR: Secondment Cash-based Interventions Expert, Multiyear 2017-2018, total amount CHF 121,200 (Z7H314300056)",Full,0.9731862
169052,"Delivering case managment and GBV cash assistance within a survivor centered approach for Syrian refugee and host community women in Jordan, Multiyear 2017-2019, total amount CHF 520,000 (7F-09919.01)",Partial,0.15479
169129,"IFRC Secondment of a Cash in Emergencies Specialist, Multiyear, 2017-2018, total amount CHF 190,000 (Z7H514500020)",Full,0.98677224
169132,"Secondment of a Cash Expert to the Cash Learning Partnership (CaLP), Multiyear, 2017-2018, total amount CHF 60,000 (Z7H514500019)",Full,0.991227
169416,"Envelop 1: Emergency Lifesaving Ignore Food Voucher Assistance to 4200HHs of most vulnerable affected by the conflict of men, women, boys and girls in Dawran Aness and Jabal Ash sharq Districts in Dhamar Governorate.",Full,0.779418
169444,"Agriculture Production for potatoes and vegetables, and Cash For Work",Partial,0.042712163
154985,"Food and cash to improve food security in Nugaal/Sool, Puntland State and Bay, South West State of Somalia. (D002531).",Partial,0.060758967
155002,"Cash-for-Work, Cash Transfers for Food, Food Vouchers, Local Procurement, Nutrition through IPs (USAID/FFP)",Partial,0.05720272
155012,Humanitarian WASH and cash assistance to displaced populations in Myanmar (Kachin) (part of ECHO/-XA/BUD/2017/91003),Partial,0.13604653
155014,Emergency livelihood support through cash for work for refugees from South Sudan,Full,0.9862742
170118,Sierra Leone: Humanitarian and Early Recovery Cash Transfers (SM170446),Full,0.8790826
170250,WFP Additional 2017 Cash Contribution PRRO 20098  (7F-03297.38),Full,0.9893853
170310,"Cash for shelter + basic health care, vocational education, fire safety",Partial,0.28925157
170311,Cash for winterization,Full,0.9912476
170312,Cash for shelter + basic health care,Full,0.9843428
170322,Cash for shelter multi-year program for Syrian refugees and the poorest local communities,Full,0.9893421
170338,Humanitarian projects in the area of basic assitance and social protection in the Zaporizhia region and the Doneck region (GCA),Partial,0.34568852
170434,The project aims at assisting to improve food and nutrition security for the most vulnerable populations (including IDPs and Recent Returnees from neighbouring countries) in food crisis situation according to the last IPC cycle 2017). the main activities are: Agricultural inputs distribution; Inconditional Cash Transfer; Income Generating Activities and Nutrition awarness raising..,Partial,0.086655565
170711,Programme d'assistance monétaire multi sectorielle et mise en place de projets de résilience.,Partial,0.32912207
170728,Aide aux réfugiés irakiens de Madaba et Kerak : cash for work et formation professionelle,Partial,0.1856955
170749,WFP Secondment of a social protection and social safe nets advisor.,Full,0.9843507
170821,Résilience et redressement via des transferts monétaires pour les populations touchées par le conflit à Damasak,Partial,0.42277926
171164,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
171176,"Cash Assistance for essential needs, including food, shelter and NFIs (through Online/Individual giving)",Full,0.99113524
171180,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
171187,"Cash Assistance for essential needs, including food, shelter and NFIs (through Bizkaia Regional Government)",Full,0.9910706
171188,"Cash Assistance for essential needs, including food, shelter and NFIs (through Madrid Local Council)",Full,0.9912176
171241,Transitional Shelter Cash Assistance (part of PG/2016/03 - 3017837 - 2017 portion),Full,0.9645687
172391,Provision of Health Services and Cash Assistance for crisis affected Syrians in North-Eastern Jordan,Partial,0.1754327
172489,Cash-based Intervention for Sryian and Iraqi Refugees in Mersin (Third Phase),Full,0.9908923
176798,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
176801,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
176806,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
177494,"Strengthening capacities for cash-transfer programmes2016: 23.720,44 €    2017: 384.023,56 €    2018: 500.000,00 € (2017 portion)",Full,0.7482432
178118,Harmonized Multi-Purpose Cash Assistance to Conflict Affected vulnerable households in Iraq II,Full,0.9907284
178376,OFDA/FFP: Cash Consortium for Iraq (CCI) Emergency Response for Conflict Affected Households 2017-18,Full,0.9178586
185026,WFP Cash & Voucher Project: Food Assistance,Full,0.9202058
185788,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
191456,Improvement of access to community infrastructure and coverage of humanitarian need through cash transfers;,Full,0.9041112
155176,Psycho-social assistance for conflict-affected Syrian refugees in Jordan,Full,0.7605432
194513,WFP Cash Programme in Lebanon ( 1 Jan 2017 - March 2018 ),Full,0.98528314
195197,"(Core voluntary funds) Moving out of fragility through effective national social protection floors in times of continuing conflict and austerity. Total funding amount: $262,140 (2017: $4,268; 2018: $135,729; 2019: $122,143)",Full,0.75923795
203037,"Implementation of Grand Bargain Commitments in the field of Harmonization and Simplification of Donor Reporting Requirements as well as cash-based humanitarian assistance; 2017: 55.224,00 € 2018: 100.294,00 € 2019: 61.194,00 € (2017 portion)",Partial,0.25668576
142951,"Improvement of nutrition status and current living conditions of IDP's and host communities in Wau sity and district by voucher distributions for food; 2016: 284.211,94 € 2017: 688.209,35 € 2018: 714.000.,00 € (AA-S05 321.50 SSD 10/16)",Partial,0.4730451
150793,"Strengthening capacities for cash-transfer programmes2016: 23.720,44 €    2017: 384.023,56 €    2018: 500.000,00 €",Full,0.7255688
162431,"Implementation of Grand Bargain Commitments in the field of Harmonization and Simplification of Donor Reporting Requirements as well as cash-based humanitarian assistance; Multiyear 2017-2019; 2017: 55.224,00 € 2018: 100.294,00 € 2019: 61.194,00 €",Partial,0.2779662
165459,Implementation of SDC/HA Operational Concept on Cash Transfer Programming (CTP) Multiyear 2017-2020; total amount 600 000 CHF. (7F-07880.05),Full,0.944266
167560,"Cash Project, diversication of livelihoods and market internevtions to strengthen vulnerable households; 2017: 90.000,00 € 2018: 405.000,00 € (AA-S09 321.50 SSD 13/17)",Full,0.93547446
155244,"Scale up preventive and curative nutrition, and health services alongside WASH and cash programming. This action will help prevent further deterioration in malnutrition levels whilst providing much needed treatment for those already affected. ",Partial,0.30461878
155245,"The FAO famine prevention and drought response plan seeks to address the needs of rural families in Somalia. The activities proposed are: cash for work and unconditional cash transfers in Hiraan, Bay, Bakool and Middle and Lower Shabelle districts and emergency livestock support in Bay and Bakool. ",Partial,0.2865202
155246,"Provide immediate life-saving assistance through unconditional in-kind and cash based transfer, and provide curative and preventative nutrition services to children U5 and pregnant and lactating women",Partial,0.08954945
168953,"UNHCR: Secondment Cash-based Interventions Expert, Multiyear 2017-2018, total amount CHF 121,200 (Z7H314300056)",Full,0.9731862
169051,"Delivering case managment and GBV
cash assistance within a survivorcentered approach for Syrian refugee and host community women in Jordan, Multiyear 2017-2019, total amount CHF 520,000 (7F-09919.01)",Partial,0.17431061
169128,"IFRC Secondment of a Cash in Emergencies Specialist, Multiyear, 2017-2018, total amount CHF 190,000 (Z7H514500020)",Full,0.98677224
169131,"Secondment of a Cash Expert to the Cash Learning Partnership (CaLP), Multiyear, 2017-2018, total amount CHF 60,000 (Z7H514500019)",Full,0.991227
170748,WFP Secondment of a social protection and social safe nets advisor.,Full,0.9843507
176804,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
178117,205094-101 - Harmonized Multi-Purpose Cash Assistance to Conflict Affected vulnerable households in Iraq II,Full,0.9625879
178375,OFDA/FFP: Cash Consortium for Iraq (CCI) Emergency Response for Conflict Affected Households 2017-18,Full,0.9178586
182484,"UNHCR Cash Assisstance to returness and Protection & Assistance for Refugees, IDPs & Returnees  , Multi-year, 2016-2017, total amount GBP 11,500,000",Full,0.94096714
198609,Cash cards for Syrian refugees,Full,0.9926664
155286,Providing Cash to food insecure households to buy food in response to climate induced prolonged food crises.,Full,0.9870991
155287,Cash response as well as the re-establishment of the water distributions in Marsabit and Isiolo.,Full,0.98703593
155288,Cash distribution,Full,0.9921516
155543,Support to Palestine Refugees in Syria through providing essential services including quality healthcare and education and emergency cash assistance,Partial,0.065404214
147579,Cash-based Response to Hurricane Mathew :  Emergency Food Assistance (USAID/FFP),Full,0.9871076
155623,Transitional Shelter Cash Assistance,Full,0.985537
155701,X: Supporting a return to learning for extremely vulnerable and food insecure crisis-affected children in Syria through school feeding and voucher support,Full,0.7426512
155723,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
155724,"Cash Assistance for essential needs, including food, shelter and NFIs (through Spain, Basque government)",Full,0.9905471
155735,"Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.98870635
155782,"Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.98870635
155784,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
155785,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
155786,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
155787,"Jordan - Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.96528584
155796,"Cash Assistance for essential needs, including food, shelter and NFIs  (Allocation of unearmarked funds)",Full,0.989912
148194,Conditional food assistance via cash-based transfers for asset creation or rehabilitation activities; general food assistance (unconditional) via cash-based transfers; nutrition assistance for the prevention and treatment of malnutrition for children aged 6-59 months,Full,0.6952201
156033,"Emergency assistance responding to food, NFI and shelter needs through distributions of cash and in-kind supplies, from 2016 to 2017, 2017 portion  (part of ECHO/SYR/BUD/2016/91009)",Full,0.54676634
156063,Targeted emergency cash assistance to most vulnerable households affected by drought,Full,0.992084
156078,WFP Multi-Bi Allocation 2017 - Cash Contributions: Emergency food assistance (part of 7F-03297.38),Full,0.98545146
156094,"Appui à la sécurité alimentaire et nutritionnelle des ménages très pauvres et vulnérables à travers l'assistance monétaire à usages multiples dans les communes de Bambara Maoudé, Haribomo, Inadiatafane et Ouinerden (ECHO/-WF/BUD/2017/91046)",Full,0.59591347
156164,"Sauver des vies à travers une assistance en CASH Multifonctionnel pour répondre aux besoins les plus pressants de 12,900 personnes déplacées internes dans le Département du Logone et Chari",Full,0.8355477
156168,"Emergency support to conflict-affected internally displaced and host communities through the extention of vital NFI assistance (items and vouchers) to conflict-affected populations, improving water access with complementary hygeine and sanitation programmes, improved food security and livelihoods through kitchen gardens, agricultural support and cash for work , from 2015 to 2017, 2017 portion (USAID/OFDA)",Partial,0.06289281
156173,"Damascus: Early Recovery and Livelihood - Increased access to livelihood opportunities and social protection for vulnerable children and youth in 7 Governorates of Syria (Damascus, Rural Damascus, Homs, Hama, Aleppo, Al Hasakeh and Tartous)",Partial,0.09482339
156201,Back to schools: access to education and psycho-social assistance for conflict-affected children in North Iraq (Ninive),Partial,0.15651746
156243,"Provide food assistance, medical services, and emergency cash assistance (D003920)",Partial,0.031755112
156245,"Provide food assistance, medical services, and emergency cash assistance (D003920)",Partial,0.031755112
156280,"Provision of psychosocial services, livelihoods opportunities, and emergency cash
(D004154)",Partial,0.4526642
149995,Enhancing Access to Food for Internally Displaced Persons (IDPs) through the Provision of Unconditional Cash Transfers in Kaxda District,Full,0.9623252
156465,"Food Vouchers and Cash Transfers for Relief Food and Livelihoods, Nutrition Assistance.  Urgent upscaling of cash-based interventions to prevent famine in rural areas of Somalia (USAID/FFP)",Partial,0.05593277
156507,Unconditional Cash Support for Food Insecure in Far North Cameroon,Full,0.9925291
150895,Support to Emergency Job Creation and Transitional Shelter Cash Assistance (TSCA) Programmes in Gaza (part of PG/2016/03 - 3017837 - 2017 portion),Partial,0.29362425
156662,Food and Cash assistance for refugees and asylum seekers in Djibouti (ECHO/-HF/BUD/2017/91027),Partial,0.07547196
156739,"In response to 2017 appeal:WASH, health, nutrition, cash, livelihoods through L'Oeuvre Léger (D004378).",Partial,0.07273778
156741,"WASH, NFIs, Shelter, Cash, Livelihoods (D004391).",Partial,0.02192643
156746,"WASH, NFIs, cash, livelihoods through CARE Canada   (D004368).",Partial,0.020182805
156748,"WASH, NFIs, cash, livelihoods through CARE Canada   (D004409).",Partial,0.019890737
156899,"Improving food security and livelihoods through distribution of food vouchers, cash for work activities and provision of animal health/fisheries services.",Partial,0.063426286
156963,Emergency Cash-for-Work,Full,0.9916944
156965,Emergency Cash-for-Work,Full,0.9916944
156984,Emergency Cash-for-Work (GAZA),Full,0.99018645
156986,Emergency Cash-for-Work (WB),Full,0.9897154
156990,Transitional Shelter Cash Assistance,Full,0.985537
156992,Emergency Cash-for-Work,Full,0.9916944
157043,Unconditional Cash and WASH,Full,0.7230579
157044,Unconditional Cash and WASH,Full,0.7230579
157117,Emergency Distribution of NFIs and Cash Transfer to Returnees and IDPs,Partial,0.14990956
157124,"Rapid shelter response focused on cash-for-rent and distribution of Sealing Off Kits (SOKs). 400 SOKs were distributed, benefiting 2,233 individuals.",Full,0.952104
157231,"Enabling resilience to the drought situation for the most vulnerable households in Marsabit County, Kenya, through unconditional cash transfers (ECHO/-HF/BUD/2017/91047)",Full,0.97867215
157397,Distribution of food items and cash transfer to households with malnourished children,Full,0.8893216
157436,Drought in Horn of Africa - Saving lives and protecting livelihoods through cash-transfers and a market-based response in Greater Upper Nile,Full,0.7583103
157454,Distribution of medicine and cash transfer to households with malnourished children,Full,0.69518703
157455,Distribution of food items and cash transfer to households with malnourished children,Full,0.8893216
157456,Distribution of food items and cash transfer to households with malnourished children,Full,0.8893216
157501,"Short-Term Employment Project for Gaza Strip Graduates Third Phase, Cash for work assistance",Full,0.9648681
157510,Transitional Shelter Solutions and Cash for Work Support,Partial,0.21421279
157796,Social Protection (SM1499101403),Full,0.7983906
157797,Social Protection (SM170028),Full,0.8675094
157939,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018; total EUR 11.5 million),Full,0.664468
157944,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018),Full,0.7113268
157946,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018),Full,0.7113268
157947,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018),Full,0.7113268
158026,Non-earmarked Cash distributions.,Full,0.98640984
158064,"Programme Officer Cash Based Transfers, Techn. Assistance inc. Experts (Secondment) Multiyear 2017 to 2018, 2017 portion (part of Z7H214200027)",Full,0.9793185
158065,"Programme Officer Cash Based Transfers, Techn. Assistance inc. Experts (Secondment) Multiyear 2017 to 2018, 2018 portion (part of Z7H214200027)",Full,0.9801294
158067,"Additional Credit: Programme Officer Cash Based Transfers, Nairobi: Techn. Assistance inc. Experts (Secondment) ( Z7H21400007 )",Full,0.97648007
158081,"WFP Multi-Bi Allocation 2017 - Cash Contribution for n Emergency food assistance
(7F-09777.06)",Full,0.9880945
158106,Social Protection (through UNICEF/Madagascar),Full,0.93952906
153101,Provision of Multi-Purpose Cash Assistance to Vulnerable Herder Households Affected by Dzud,Full,0.9918829
158481,Humanitarian WASH and cash assistance to displaced populations in Myanmar (Shan) (part of ECHO/-XA/BUD/2017/91003),Partial,0.12961756
158513,Alima:Prise en charge de la malnutrition aiguë sévère (enfants avec complications).PUI: Assistance alimentaire / coupons + renforcement dépistage de la malnutrition,Partial,0.1836444
158514,Alima:Prise en charge de la malnutrition aiguë sévère (enfants avec complications).PUI: Assistance alimentaire / coupons + renforcement dépistage de la malnutrition,Partial,0.1836444
158531,Drought Emergency Response (DER) in Somalia (Cash alliance - 2017) (part of ECHO/-HF/BUD/2017/91054),Full,0.9758625
140347,"Emergency cash assistance for Palestine refugees in Syria Financial year 2017: 7000000.00 € 2018: 4000000.00 € Top up financial year 2017: 5.000.000,00 € 2018: 3.000.000,00 € 2. Top up financial year 2018: 2.000.000,00 € 2019: 6.000.000,00 € 3. Top up financial year 2018: 8.000.000,00 € 4. Top up financial year 2018: 5.000.000,00 €  (2017 portion)",Full,0.98400766
153220,"Relèvement immédiat Post-Matthew: Assistance cash et semences à des familles paysannes through SHA , Multiyear: 2016-2017, 2017 portion (part of 7F-09736.01)",Partial,0.1324253
159039,PAM/FAO:Assistance alimentaire pour les réfugiés de RCA et  appui aux filières des petits producteurs agricoles.CICR:Achat semences et outils.SI:Coupons pour foire aux vivres,Partial,0.28808293
159041,PAM/FAO:Assistance alimentaire pour les réfugiés de RCA et  appui aux filières des petits producteurs agricoles.CICR:Achat semences et outils.SI:Coupons pour foire aux vivres,Partial,0.28808293
159043,PAM:Transferts monétaires+coupons + P4P (achats aux producteurs locaux et redistribution)Acted:relance agricole via des foires aux intrants agricolesPUI/CRF:relance agropastoraleTGH:Améliorat° sécurité alimentaire (Kits mairaichers et vivriers + services vétérinaires+ kits pêche et apiculture),Partial,0.21567133
159046,PAM:Transferts monétaires+coupons + P4P (achats aux producteurs locaux et redistribution)Acted:relance agricole via des foires aux intrants agricolesPUI/CRF:relance agropastoraleTGH:Améliorat° sécurité alimentaire (Kits mairaichers et vivriers + services vétérinaires+ kits pêche et apiculture),Partial,0.21567133
159051,Programme pilote / cash dans camps de réfugiés burundais,Full,0.92390424
159054,PAM:Coupons alimentaires Gaza+sensibilisation aux bonnes pratiques  nutritionnelles.UNRWA:Programme de création d' emplois agricoles à des femmes + placement à l'UNRWA de jeunes diplomés,Partial,0.30441898
159061,Coupons électroniques,Full,0.92990583
159062,Coupons électroniques,Full,0.92990583
159070,Alima/SI: Coupons + Traitement de la MAS,Partial,0.3475026
159083,Comprehensive Emergency WASH and Unconditional Cash Assistance for Vulnerable Conflict Affected Households in Al Dhale'e (ECHO/YEM/BUD/2017/91006),Partial,0.4643601
159170,Amélioration de la sécurité alimentaire et de la résilience des communautés à Karamoja au travers d’activités de travail contre argent et de formation.,Full,0.54417145
159456,Reserve Fund-Cash Reserve Account,Full,0.9896197
159686,Emergency Cash Assistance Forcibly Evicted from Informal Settlements in Lebanon,Full,0.99175984
159908,Life-saving cash assistance to the most vulnerable households affected by floods and landslides,Full,0.99135584
159974,Cash support to needy children (orphans)  covering for their  social and health care in various provinces of Yemen.,Full,0.9905408
160155,Food Security Cash Distribution Project - Ainabo District,Full,0.9923184
160366,Addressing the increasing vulnerabilities of the communities affected by the Syria crisis in Mount Lebanon with Multipurpose Cash Assistance,Full,0.97182006
160413,Water Voucher Program in Shokat Al Sofi Area,Full,0.98459744
160632,UNHCR multi-purpose cash grant program in Greece (ECHO/-EU/BUD/2017/01001),Full,0.98286545
160744,Social Protection,Full,0.90448403
142797,Cash cards for Syrian refugees (AA-S05 321.50 SYR 26/16),Full,0.99141216
161350,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
161360,Transitional Shelter Cash Assistance,Full,0.985537
161396,Emergency Cash-for-Work (GAZA),Full,0.99018645
161397,Emergency Cash-for-Work (WB),Full,0.9897154
161539,"Cash Assistance for essential needs, including food, shelter and NFIs (through Online/Individual giving)",Full,0.99113524
161540,"Cash Assistance for essential needs, including food, shelter and NFIs (through Online/Individual giving)",Full,0.99113524
161546,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
161547,"Cash Assistance for essential needs, including food, shelter and NFIs (part of MEU-17/0011-2)",Full,0.99110574
161548,"Cash Assistance for essential needs, including food, shelter and NFIs (part of MEU-17/0011-3)",Full,0.99107015
161565,"Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.98870635
161571,"Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.98870635
161575,"Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.98870635
161682,This Program will support vulnerable Syrian Refugee families in Lebanon and Jordan as wellas vulnerable IDP families through Cash Based Interventions (CBI),Full,0.94753397
161683,This Program will support vulnerable Syrian Refugee families in Lebanon and Jordan as wellas vulnerable IDP families through Cash Based Interventions (CBI),Full,0.94753397
161684,This Program will support vulnerable Syrian Refugee families in Lebanon and Jordan as wellas vulnerable IDP families through Cash Based Interventions (CBI),Full,0.94753397
161692,Strengthen capacity of ASEAN Member States (AMS) to develop risk informed and shock responsive social protection systems for resilience (ECHO/-XA/BUD/2017/91030),Full,0.81539196
161877,Emergency measures to secure access to food and drinking water trhough mobile cash transfers,Full,0.9647047
161975,"Improvement of nutrition status and current living conditions of IDP's and host communities in Wau sity and district by voucher distributions for FoodFinancial year 2016: 284211.94 € , 2017: originally 500000.00 € + top up in 2017 500000.00 € = total amount 1000000.00 € , 2018: 114000.00 €",Partial,0.43175086
162012,Multilateral contribution: Support to the UNRWA’s emergency shelter programme. The Project aims to provide Transitional Shelter Cash Assistance (TSCA) to refugee families whose homes have been assessed as uninhabitable as a result of bombardment of the Gaza Strip so they can move into a temporary accommodation.,Full,0.985129
162027,Commodity Voucher & Training for the farmers in two govrnorates (USAID/OFDA),Partial,0.045538433
162110,"To save lives and alleviate suffering (NFI, cash transfers, shelter, capacity building )",Partial,0.023619844
162112,"To save lives and alleviate suffering - NFI, shelter, cash transfers, emergency preparadeness",Partial,0.021010468
162121,Provide cash-based assistance for severely vulnerable Syrian refugees in Lebanon (ECHO/SYR/BUD/2017/91029),Full,0.9674531
162286,"Multilateral contribution. Support to the UNHCR project called “Return and Re-integration of Somali Refugees From Kenya to Somalia”. The project aims 1) to strengthen access to education for the returnee children of school going age, 2) to improve livelihoods of returnees, 3) to reinforce access to social and basic services through community-based projects by rehabilitating health, education and other basic infrastructures in the areas of return through cash for work,  4) to reduce the risk of SGBV",Full,0.9103174
162317,Multi-purpose cash assistance for refugees and asylum-seekers in Egypt (ECHO/SYR/BUD/2016/91067),Full,0.991113
154036,"Multi-Purpose Cash and Protection for South Sudanese refugees in Bidibidi Settlement, Uganda",Full,0.81270415
154037,Linking humanitarian action to Social Protection systems in fragile and forced displacement contexts (ECHO/ERC/BUD/2016/91017),Full,0.797998
162693,Cash assistance to the most vulnerable population affected by the conflict in the Eastern Ukraine,Full,0.9922753
